key	ctn	file_new	file_orig	invasion_spectral	invasion_veena	k14_mean	k14_sum	k14_sum_center	k14_sum_edge	k14_veena	orgnum	size_area	size_frac	size_perimeter
CTN001_Tumor_Day6_01	CTN001	CTN001_Day6_01.tif	CTN001_Day6_B1-015_AB01_01.zvi.tif	0.5079312257273374	0	0.42915079425405406	0.009893074554139989	0.008535239023563316	0.001357835530576673	1	01	32886.36673952246	0.0230526767901	0.00563483706495
CTN001_Tumor_Day6_02	CTN001	CTN001_Day6_02.tif	CTN001_Day6_B1-015_AB01_02.zvi.tif	0.9027716793513016	0	0.5507539682539682	0.01089665077957585	0.00895659466402389	0.0019400561155519622	1	02	28126.367277482757	0.0197849700732	0.00574914098869
CTN001_Tumor_Day6_03	CTN001	CTN001_Day6_03.tif	CTN001_Day6_B1-015_AB01_03.zvi.tif	0.7184639928647183	0	0.808565387042171	0.10445780684253307	0.0991297009271454	0.005328105915387658	3	03	185520.16749976834	0.129189065617	0.0139859510086
CTN001_Tumor_Day6_04	CTN001	CTN001_Day6_04.tif	CTN001_Day6_B1-015_AB01_04.zvi.tif	0.7723675766360593	0	0.5043162537036392	0.026553533628037782	0.023807674920999212	0.002745858707038568	2	04	75364.43319036913	0.0526525437819	0.00935075371315
CTN001_Tumor_Day6_05	CTN001	CTN001_Day6_05.tif	CTN001_Day6_B1-015_AB01_05.zvi.tif	1.0015133859301264	0	0.3882634779827229	0.02024698069207732	0.01770084618861954	0.0025461345034577787	1	05	74583.73822912306	0.0521475282642	0.00986477499446
CTN001_Tumor_Day6_06	CTN001	CTN001_Day6_06.tif	CTN001_Day6_B1-015_AB01_06.zvi.tif	0.27638832080741516	0	0.24668512839575008	0.00811306838186394	0.0070625806851226415	0.0010504876967412991	0	06	47021.827693751926	0.0328883562403	0.00595073154511
CTN001_Tumor_Day6_07	CTN001	CTN001_Day6_07.tif	CTN001_Day6_B1-015_AB01_07.zvi.tif	2.218191347288416	0	0.2867562503270043	0.021961827515311158	0.019724024280516908	0.00223780323479425	1	07	109595.14425648973	0.0765870926624	0.0147057193527
CTN001_Tumor_Day6_08	CTN001	CTN001_Day6_08.tif	CTN001_Day6_B1-015_AB01_08.zvi.tif	0.585030233895058	0	0.6403559964131639	0.044669036146934946	0.041278030609273195	0.0033910055376617505	1	08	100051.33233429468	0.06975656728	0.00987793726446
CTN001_Tumor_Day6_09	CTN001	CTN001_Day6_09.tif	CTN001_Day6_B3-016_AB03_01.zvi.tif	0.8919967104418395	0	0.31731607729110545	0.04536007298064426	0.04354626327365351	0.0018138097069907546	1	09	205115.03636217077	0.142949179783	0.017142124806
CTN001_Tumor_Day6_10	CTN001	CTN001_Day6_10.tif	CTN001_Day6_B3-016_AB03_02.zvi.tif	0.3722115990654743	0	0.1744635396368421	0.0056550300789790535	0.005312085707703609	0.00034294437127544434	1	10	46323.61392883799	0.032413821769	0.00618903790734
