key	ctn	file_new	file_orig	invasion_ff	invasion_spectral	invasion_spectral_delta	invasion_spectral_group	invasion_veena	k14_mean	k14_mean_delta	k14_mean_group	k14_sum	k14_sum_delta	k14_sum_group	k14_veena	orgnum	size_area	size_frac	size_frac_delta	size_frac_group	size_npixel	size_perimeter	tag_color	tag_photometric	tag_scale
CTN001_Tumor_Day6_01	CTN001	CTN001_Day6_01.tif	CTN001_Day6_B1-015_AB01_01.zvi.tif	2.3305170677356246	0.5378571838547953	-0.333697572166	0.871554756021	0	0.42915079425405406	-0.00551189307599	0.43466268733	0.009893074554139989	-0.0198876336059	0.02978070816	1	01	32886.36673952246	0.0230526767901	-0.040089503436	0.0631421802261	33277.0	981.3841142822183	rgb	2	1.0
CTN001_Tumor_Day6_02	CTN001	CTN001_Day6_02.tif	CTN001_Day6_B1-015_AB01_02.zvi.tif	2.7632392575555644	0.9483670881108535	0.0768123320896	0.871554756021	0	0.5507539682539682	0.116091280924	0.43466268733	0.01089665077957585	-0.0188840573804	0.02978070816	1	02	28126.367277482757	0.0197849700732	-0.0433572101529	0.0631421802261	28560.0	988.2595024847202	rgb	2	1.0
CTN001_Tumor_Day6_03	CTN001	CTN001_Day6_03.tif	CTN001_Day6_B1-015_AB01_03.zvi.tif	2.4864654735266405	0.7646686538257598	-0.106886102196	0.871554756021	0	0.808565387042171	0.373902699712	0.43466268733	0.10445780684253307	0.0746770986825	0.02978070816	3	03	185520.16749976834	0.129189065617	0.0660468853909	0.0631421802261	186487.0	2407.6409005626156	rgb	2	1.0
CTN001_Tumor_Day6_04	CTN001	CTN001_Day6_04.tif	CTN001_Day6_B1-015_AB01_04.zvi.tif	2.7213010541507576	0.8149025259597189	-0.0566522300616	0.871554756021	0	0.5043162537036392	0.0696535663736	0.43466268733	0.026553533628037782	-0.00322717453197	0.02978070816	2	04	75364.43319036913	0.0526525437819	-0.0104896364442	0.0631421802261	76005.0	1605.3748151700204	rgb	2	1.0
CTN001_Tumor_Day6_05	CTN001	CTN001_Day6_05.tif	CTN001_Day6_B1-015_AB01_05.zvi.tif	3.1128614134159163	1.0613426717094447	0.189787915688	0.871554756021	0	0.3882634779827229	-0.0463992093473	0.43466268733	0.02024698069207732	-0.00953372746793	0.02978070816	1	05	74583.73822912306	0.0521475282642	-0.0109946519619	0.0631421802261	75276.0	1708.0748515861221	rgb	2	1.0
CTN001_Tumor_Day6_06	CTN001	CTN001_Day6_06.tif	CTN001_Day6_B1-015_AB01_06.zvi.tif	1.7528775231286733	0.2981285517760036	-0.573426204245	0.871554756021	0	0.24668512839575008	-0.187977558934	0.43466268733	0.00811306838186394	-0.0216676397781	0.02978070816	0	06	47021.827693751926	0.0328883562403	-0.0302538239858	0.0631421802261	47475.0	1017.7250657301004	rgb	2	1.0
CTN001_Tumor_Day6_07	CTN001	CTN001_Day6_07.tif	CTN001_Day6_B1-015_AB01_07.zvi.tif	4.773556603614972	2.32315745964399	1.45160270362	0.871554756021	0	0.2867562503270043	-0.147906437003	0.43466268733	0.021961827515311158	-0.0078188806447	0.02978070816	1	07	109595.14425648973	0.0765870926624	0.0134449124363	0.0631421802261	110555.0	2564.0212882682144	rgb	2	1.0
CTN001_Tumor_Day6_08	CTN001	CTN001_Day6_08.tif	CTN001_Day6_B1-015_AB01_08.zvi.tif	2.247307627022107	0.616430350055687	-0.255124405966	0.871554756021	0	0.6403559964131639	0.205693309083	0.43466268733	0.044669036146934946	0.0148883279869	0.02978070816	1	08	100051.33233429468	0.06975656728	0.00661438705389	0.0631421802261	100695.0	1680.9222776134582	rgb	2	1.0
CTN001_Tumor_Day6_09	CTN001	CTN001_Day6_09.tif	CTN001_Day6_B3-016_AB03_01.zvi.tif	3.345759986839107	0.9555159550736039	0.0839611990523	0.871554756021	0	0.31731607729110545	-0.117346610039	0.43466268733	0.04536007298064426	0.0155793648206	0.02978070816	1	09	205115.03636217077	0.142949179783	0.0798069995569	0.0631421802261	206350.0	2936.6424521688787	rgb	2	1.0
CTN001_Tumor_Day6_10	CTN001	CTN001_Day6_10.tif	CTN001_Day6_B3-016_AB03_02.zvi.tif	1.9803811796881428	0.3951771202028906	-0.476377635818	0.871554756021	0	0.1744635396368421	-0.260199147693	0.43466268733	0.0056550300789790535	-0.024125678081	0.02978070816	1	10	46323.61392883799	0.032413821769	-0.0307283584571	0.0631421802261	46790.0	1073.6940438700567	rgb	2	1.0
CTN002_Tumor_Day6_01	CTN002	CTN002_Day6_01.tif	CTN002_Day6_B1-018_AB01_01.zvi.tif	7.743897485370021	3.4878072616345843	2.63742041549	0.850386846147	3	0.5142550936680835	0.0291537749687	0.485101318699	0.10861978725207662	0.0727565320886	0.0358632551634	3	01	302623.91805908835	0.211217717801	0.135708172757	0.0755095450438	304897.0	5426.706759525535	rgb	2	1.0
CTN002_Tumor_Day6_02	CTN002	CTN002_Day6_02.tif	CTN002_Day6_B1-018_AB01_02.zvi.tif	1.7410276335424297	0.36200470640742866	-0.48838213974	0.850386846147	2	0.42392797161252155	-0.0611733470868	0.485101318699	0.0210621883978597	-0.0148010667656	0.0358632551634	2	02	71208.11594609203	0.0496834127688	-0.025826132275	0.0755095450438	71719.0	1248.1664699068438	rgb	2	1.0
CTN002_Tumor_Day6_03	CTN002	CTN002_Day6_03.tif	CTN002_Day6_B1-018_AB01_03.zvi.tif	3.580855423757243	1.0545947394859405	0.204207893338	0.850386846147	2	0.5464420365467927	0.0613407178474	0.485101318699	0.05642338064687192	0.0205601254834	0.0358632551634	3	03	148031.2957685824	0.103255929949	0.0277463849052	0.0755095450438	149052.0	2580.9232846232753	rgb	2	1.0
CTN002_Tumor_Day6_04	CTN002	CTN002_Day6_04.tif	CTN002_Day6_B1-018_AB01_04.zvi.tif	1.3523350214721486	0.1059224349249463	-0.744464411223	0.850386846147	0	0.5428822719329714	0.0577809532336	0.485101318699	0.00573487846701527	-0.0301283766964	0.0358632551634	3	04	15023.885957816645	0.0105637608069	-0.0649457842369	0.0755095450438	15249.0	505.2871092026434	rgb	2	1.0
CTN002_Tumor_Day6_05	CTN002	CTN002_Day6_05.tif	CTN002_Day6_B1-018_AB01_05.zvi.tif	1.3888307037798806	0.13188621242862814	-0.718500633719	0.850386846147	0	0.47600007038412134	-0.00910124831525	0.485101318699	0.011023527455761732	-0.0248397277077	0.0358632551634	2	05	33099.91360447368	0.0231586677012	-0.0523508773426	0.0755095450438	33430.0	760.051493435203	rgb	2	1.0
CTN002_Tumor_Day6_06	CTN002	CTN002_Day6_06.tif	CTN002_Day6_B1-018_AB01_06.zvi.tif	5.16004256113921	2.995878611676377	2.14549176553	0.850386846147	2	0.35307172913496765	-0.132029589564	0.485101318699	0.031724651288136625	-0.00413860387529	0.0358632551634	3	06	128612.4463466802	0.089853275327	0.0143437302832	0.0755095450438	129705.0	2887.8396398767063	rgb	2	1.0
CTN002_Tumor_Day6_07	CTN002	CTN002_Day6_07.tif	CTN002_Day6_B1-018_AB01_07.zvi.tif	1.6260675801039282	0.37117270373669664	-0.479214142411	0.850386846147	1	0.6197567733685501	0.134655454669	0.485101318699	0.03658338984008589	0.000720134676656	0.0358632551634	2	07	84685.80606957326	0.0590286244735	-0.0164809205703	0.0755095450438	85209.0	1315.4657357332949	rgb	2	1.0
